date,WhatsApp,Instagram,Facebook,Messenger,isPartial
2017-04-19,6,9,92,1,False
2017-04-20,5,9,88,1,False
2017-04-21,5,9,92,1,False
2017-04-22,5,9,96,1,False
2017-04-23,5,9,95,1,False
2017-04-24,5,9,88,1,False
2017-04-25,6,8,89,1,False
2017-04-26,6,9,89,1,False
2017-04-27,6,8,90,1,False
2017-04-28,5,9,93,1,False
2017-04-29,5,9,95,1,False
2017-04-30,5,10,99,1,False
2017-05-01,5,9,90,1,False
2017-05-02,5,9,90,1,False
2017-05-03,13,9,91,1,False
2017-05-04,8,9,87,1,False
2017-05-05,6,9,92,1,False
2017-05-06,5,9,96,1,False
2017-05-07,5,10,96,1,False
2017-05-08,6,9,93,1,False
2017-05-09,6,9,90,1,False
2017-05-10,6,8,87,1,False
2017-05-11,6,9,90,1,False
2017-05-12,6,9,92,1,False
2017-05-13,5,9,97,1,False
2017-05-14,5,10,98,1,False
2017-05-15,5,9,90,1,False
2017-05-16,6,9,90,1,False
2017-05-17,6,8,89,1,False
2017-05-18,6,9,88,1,False
2017-05-19,5,9,90,1,False
2017-05-20,5,9,96,1,False
2017-05-21,5,10,94,1,False
2017-05-22,5,9,88,1,False
2017-05-23,5,8,87,1,False
2017-05-24,5,9,88,1,False
2017-05-25,5,9,95,1,False
2017-05-26,5,9,91,1,False
2017-05-27,5,9,100,1,False
2017-05-28,5,10,98,1,False
2017-05-29,6,9,92,1,False
2017-05-30,5,9,86,1,False
2017-05-31,6,9,88,1,False
2017-06-01,6,8,88,1,False
2017-06-02,6,9,90,1,False
2017-06-03,5,9,94,1,False
2017-06-04,4,10,91,1,False
2017-06-05,5,9,90,1,False
2017-06-06,6,9,87,1,False
2017-06-07,6,8,87,1,False
2017-06-08,6,9,89,1,False
2017-06-09,6,8,91,1,False
2017-06-10,5,9,94,1,False
2017-06-11,5,10,96,1,False
2017-06-12,6,9,85,1,False
2017-06-13,6,9,88,1,False
2017-06-14,6,9,90,1,False
2017-06-15,5,9,87,1,False
2017-06-16,6,9,92,1,False
2017-06-17,5,9,93,1,False
2017-06-18,5,10,96,1,False
2017-06-19,6,9,89,1,False
2017-06-20,6,9,88,1,False
2017-06-21,6,9,86,1,False
2017-06-22,6,9,88,1,False
2017-06-23,5,9,87,1,False
2017-06-24,5,9,91,1,False
2017-06-25,5,10,94,1,False
2017-06-26,5,9,92,1,False
2017-06-27,5,9,88,1,False
2017-06-28,6,9,87,1,False
2017-06-29,6,9,89,1,False
2017-06-30,6,9,88,1,False
2017-07-01,5,9,93,1,False
2017-07-02,5,10,96,1,False
2017-07-03,5,9,91,1,False
2017-07-04,6,9,92,1,False
2017-07-05,6,10,87,1,False
2017-07-06,6,10,87,1,False
2017-07-07,6,9,88,1,False
2017-07-08,5,10,92,1,False
2017-07-09,5,10,93,1,False
2017-07-10,5,9,87,1,False
2017-07-11,6,9,88,1,False
2017-07-12,6,9,86,1,False
2017-07-13,6,9,89,1,False
2017-07-14,6,9,91,1,False
2017-07-15,5,10,94,1,False
2017-07-16,5,10,94,1,False
2017-07-17,6,9,87,1,False
2017-07-18,6,9,89,1,False
2017-07-19,6,9,87,1,False
2017-07-20,6,9,88,1,False
2017-07-21,6,9,87,1,False
2017-07-22,5,9,90,1,False
2017-07-23,5,10,91,1,False
2017-07-24,6,10,87,1,False
2017-07-25,6,9,86,1,False
2017-07-26,6,10,88,1,False
2017-07-27,6,9,91,1,False
2017-07-28,6,9,94,1,False
2017-07-29,5,10,93,1,False
2017-07-30,5,10,96,1,False
2017-07-31,6,9,91,1,False
2017-08-01,6,10,89,1,False
2017-08-02,6,9,88,1,False
2017-08-03,6,9,89,1,False
2017-08-04,6,9,91,1,False
2017-08-05,6,10,95,1,False
2017-08-06,5,10,95,1,False
2017-08-07,6,10,88,1,False
2017-08-08,6,9,86,1,False
2017-08-09,6,9,90,1,False
2017-08-10,6,9,89,1,False
2017-08-11,6,9,91,1,False
2017-08-12,6,10,97,1,False
2017-08-13,5,10,90,1,False
2017-08-14,6,9,90,1,False
2017-08-15,6,9,93,1,False
2017-08-16,6,9,90,1,False
2017-08-17,6,9,90,1,False
2017-08-18,6,9,91,1,False
2017-08-19,6,10,92,1,False
2017-08-20,5,10,93,1,False
2017-08-21,6,9,88,1,False
2017-08-22,7,9,90,1,False
2017-08-23,7,9,94,1,False
2017-08-24,6,9,89,1,False
2017-08-25,6,9,92,1,False
2017-08-26,5,11,98,1,False
2017-08-27,5,10,94,1,False
2017-08-28,6,10,91,1,False
2017-08-29,6,9,91,1,False
2017-08-30,6,9,87,1,False
2017-08-31,6,9,88,1,False
2017-09-01,6,9,91,1,False
2017-09-02,5,10,91,1,False
2017-09-03,5,10,93,1,False
2017-09-04,6,10,89,1,False
2017-09-05,6,9,85,1,False
2017-09-06,6,9,87,1,False
2017-09-07,6,9,90,1,False
2017-09-08,6,9,85,1,False
2017-09-09,5,9,88,1,False
2017-09-10,5,10,89,1,False
2017-09-11,6,9,85,1,False
2017-09-12,6,8,85,1,False
2017-09-13,6,9,83,1,False
2017-09-14,6,9,86,1,False
2017-09-15,6,9,86,1,False
2017-09-16,5,9,90,1,False
2017-09-17,5,10,87,1,False
2017-09-18,6,9,87,1,False
2017-09-19,6,9,85,1,False
2017-09-20,6,9,85,1,False
2017-09-21,6,9,86,1,False
2017-09-22,6,9,87,1,False
2017-09-23,5,9,89,2,False
2017-09-24,5,10,88,1,False
2017-09-25,6,9,83,1,False
2017-09-26,6,9,85,1,False
2017-09-27,6,9,84,1,False
2017-09-28,6,9,84,1,False
2017-09-29,6,9,87,1,False
2017-09-30,5,9,88,1,False
2017-10-01,5,10,87,1,False
2017-10-02,6,9,85,1,False
2017-10-03,6,9,85,1,False
2017-10-04,6,9,82,1,False
2017-10-05,6,9,82,1,False
2017-10-06,6,9,83,1,False
2017-10-07,5,10,84,1,False
2017-10-08,5,10,87,1,False
2017-10-09,6,9,80,1,False
2017-10-10,6,9,81,1,False
2017-10-11,6,9,85,1,False
2017-10-12,6,9,82,1,False
2017-10-13,6,9,86,1,False
2017-10-14,6,9,87,1,False
2017-10-15,5,10,85,1,False
2017-10-16,6,9,81,1,False
2017-10-17,6,9,80,1,False
2017-10-18,6,9,83,1,False
2017-10-19,6,9,84,1,False
2017-10-20,6,9,84,1,False
2017-10-21,5,9,88,1,False
2017-10-22,5,9,82,1,False
2017-10-23,6,9,80,1,False
2017-10-24,6,9,81,1,False
2017-10-25,6,9,81,1,False
2017-10-26,6,8,80,1,False
2017-10-27,6,9,83,1,False
2017-10-28,6,9,84,1,False
2017-10-29,5,9,84,1,False
2017-10-30,6,9,78,1,False
2017-10-31,7,9,80,1,False
2017-11-01,6,9,79,1,False
2017-11-02,6,9,78,1,False
2017-11-03,9,9,80,1,False
2017-11-04,6,10,83,1,False
2017-11-05,5,10,81,1,False
2017-11-06,6,9,77,1,False
2017-11-07,6,9,77,1,False
2017-11-08,7,9,79,1,False
2017-11-09,6,9,74,1,False
2017-11-10,6,9,81,1,False
2017-11-11,6,10,81,1,False
2017-11-12,5,10,82,1,False
2017-11-13,6,9,77,1,False
2017-11-14,7,9,77,1,False
2017-11-15,6,9,77,1,False
2017-11-16,6,9,78,1,False
2017-11-17,6,9,77,1,False
2017-11-18,6,10,79,1,False
2017-11-19,5,10,80,1,False
2017-11-20,6,9,76,1,False
2017-11-21,7,9,76,1,False
2017-11-22,6,9,76,1,False
2017-11-23,7,9,78,1,False
2017-11-24,6,9,76,1,False
2017-11-25,6,10,79,1,False
2017-11-26,5,10,79,1,False
2017-11-27,6,9,72,1,False
2017-11-28,6,9,75,1,False
2017-11-29,7,9,76,1,False
2017-11-30,9,9,76,1,False
2017-12-01,7,9,76,1,False
2017-12-02,6,10,80,1,False
2017-12-03,5,10,77,1,False
2017-12-04,7,9,75,1,False
2017-12-05,6,9,75,1,False
2017-12-06,6,10,74,1,False
2017-12-07,6,9,75,1,False
2017-12-08,6,10,78,1,False
2017-12-09,5,10,75,1,False
2017-12-10,5,10,77,1,False
2017-12-11,6,9,75,1,False
2017-12-12,6,10,73,1,False
2017-12-13,6,10,73,1,False
2017-12-14,6,9,76,1,False
2017-12-15,6,10,77,1,False
2017-12-16,6,10,80,1,False
2017-12-17,5,10,78,1,False
2017-12-18,6,10,75,1,False
2017-12-19,6,10,75,1,False
2017-12-20,6,10,77,1,False
2017-12-21,6,10,75,1,False
2017-12-22,6,10,76,1,False
2017-12-23,6,10,79,1,False
2017-12-24,6,11,83,1,False
2017-12-25,6,11,87,1,False
2017-12-25,7,12,98,1,False
2017-12-26,7,12,89,1,False
2017-12-27,7,11,88,1,False
2017-12-28,7,12,88,1,False
2017-12-29,7,12,90,1,False
2017-12-30,6,13,91,1,False
2017-12-31,10,16,94,1,False
2018-01-01,6,15,100,1,False
2018-01-02,7,13,87,1,False
2018-01-03,7,12,83,1,False
2018-01-04,7,12,82,1,False
2018-01-05,7,11,85,1,False
2018-01-06,6,12,87,1,False
2018-01-07,6,12,85,1,False
2018-01-08,7,11,84,1,False
2018-01-09,7,11,83,1,False
2018-01-10,7,11,82,1,False
2018-01-11,7,11,82,1,False
2018-01-12,7,11,83,1,False
2018-01-13,6,12,86,1,False
2018-01-14,6,12,83,1,False
2018-01-15,7,11,82,1,False
2018-01-16,7,11,80,1,False
2018-01-17,7,11,82,1,False
2018-01-18,7,11,81,1,False
2018-01-19,7,12,82,1,False
2018-01-20,6,12,83,1,False
2018-01-21,6,12,82,1,False
2018-01-22,7,11,81,1,False
2018-01-23,7,11,79,1,False
2018-01-24,7,11,79,1,False
2018-01-25,7,11,81,1,False
2018-01-26,7,11,84,1,False
2018-01-27,6,12,84,1,False
2018-01-28,6,12,79,1,False
2018-01-29,7,11,79,1,False
2018-01-30,7,11,77,1,False
2018-01-31,7,11,77,1,False
2018-02-01,7,11,80,1,False
2018-02-02,7,11,81,1,False
2018-02-03,6,12,82,1,False
2018-02-04,6,13,81,1,False
2018-02-05,7,11,79,1,False
2018-02-06,7,11,78,1,False
2018-02-07,7,11,78,1,False
2018-02-08,8,11,78,1,False
2018-02-09,7,11,78,1,False
2018-02-10,7,12,81,1,False
2018-02-11,6,13,82,1,False
2018-02-12,7,11,79,1,False
2018-02-13,7,11,81,1,False
2018-02-14,7,12,80,1,False
2018-02-15,7,12,79,1,False
2018-02-16,7,12,80,1,False
2018-02-17,6,12,84,1,False
2018-02-18,6,13,82,1,False
2018-02-19,7,11,79,1,False
2018-02-20,7,11,76,1,False
2018-02-21,7,11,76,1,False
2018-02-22,7,11,79,1,False
2018-02-23,7,11,80,1,False
2018-02-24,7,12,79,1,False
2018-02-25,6,13,80,1,False
2018-02-26,7,11,77,1,False
2018-02-27,8,11,78,1,False
2018-02-28,7,11,75,1,False
2018-03-01,8,11,76,1,False
2018-03-02,7,11,77,1,False
2018-03-03,6,12,82,1,False
2018-03-04,6,12,78,1,False
2018-03-05,7,12,76,1,False
2018-03-06,8,11,76,1,False
2018-03-07,7,11,77,1,False
2018-03-08,7,11,78,1,False
2018-03-09,8,12,79,1,False
2018-03-10,6,12,78,1,False
2018-03-11,6,12,81,1,False
2018-03-12,7,11,76,1,False
2018-03-13,7,11,74,1,False
2018-03-14,7,11,75,1,False
2018-03-15,7,11,75,1,False
2018-03-16,7,11,76,1,False
2018-03-17,6,12,78,1,False
2018-03-18,6,13,78,1,False
2018-03-19,7,11,77,1,False
2018-03-20,8,11,74,1,False
2018-03-21,8,11,77,1,False
2018-03-22,8,11,78,1,False
2018-03-23,8,12,76,1,False
2018-03-24,7,13,81,1,False
2018-03-25,6,13,81,1,False
2018-03-26,7,12,76,1,False
2018-03-27,8,12,76,1,False
2018-03-28,8,12,77,1,False
2018-03-29,7,11,79,1,False
2018-03-30,6,12,78,1,False
2018-03-31,6,12,77,1,False
2018-04-01,6,13,81,1,False
2018-04-02,8,12,78,1,False
2018-04-03,8,12,75,1,False
2018-04-04,7,12,75,1,False
2018-04-05,8,12,75,1,False
2018-04-06,7,12,79,1,False
2018-04-07,6,12,77,1,False
2018-04-08,6,13,77,1,False
2018-04-09,8,12,78,1,False
2018-04-10,7,12,75,1,False
2018-04-11,7,12,76,1,False
2018-04-12,8,12,75,1,False
2018-04-13,8,12,76,1,False
2018-04-14,7,12,78,1,False
2018-04-15,6,13,77,1,False
2018-04-16,7,11,72,1,False
2018-04-17,8,11,73,1,False
2018-04-18,8,12,74,1,False
2018-04-19,8,12,74,1,False
2018-04-20,8,12,77,1,False
2018-04-21,7,13,75,1,False
2018-04-22,6,13,75,1,False
2018-04-23,8,12,72,1,False
2018-04-24,8,11,70,1,False
2018-04-25,8,12,73,1,False
2018-04-26,8,11,71,1,False
2018-04-27,8,12,72,1,False
2018-04-28,7,12,74,1,False
2018-04-29,6,13,74,1,False
2018-04-30,7,12,71,1,False
2018-05-01,6,12,73,1,False
2018-05-02,8,11,71,1,False
2018-05-03,7,12,71,1,False
2018-05-04,8,12,71,1,False
2018-05-05,7,12,75,1,False
2018-05-06,6,12,73,1,False
2018-05-07,7,12,71,1,False
2018-05-08,8,12,71,1,False
2018-05-09,8,11,72,1,False
2018-05-10,7,12,73,1,False
2018-05-11,8,12,73,1,False
2018-05-12,6,12,74,1,False
2018-05-13,6,13,72,1,False
2018-05-14,7,12,72,1,False
2018-05-15,7,11,70,1,False
2018-05-16,8,11,71,1,False
2018-05-17,8,12,72,1,False
2018-05-18,7,11,73,1,False
2018-05-19,6,12,72,1,False
2018-05-20,6,13,72,1,False
2018-05-21,8,12,70,1,False
2018-05-22,8,11,70,1,False
2018-05-23,8,12,69,1,False
2018-05-24,8,11,72,1,False
2018-05-25,8,12,73,1,False
2018-05-26,7,13,76,1,False
2018-05-27,7,13,74,1,False
2018-05-28,8,12,73,1,False
2018-05-29,8,12,71,1,False
2018-05-30,8,12,72,1,False
2018-05-31,8,12,69,1,False
2018-06-01,8,12,72,1,False
2018-06-02,7,12,73,1,False
2018-06-03,7,13,73,1,False
2018-06-04,8,12,71,1,False
2018-06-05,8,15,70,1,False
2018-06-06,8,12,68,1,False
2018-06-07,8,12,70,1,False
2018-06-08,8,12,70,1,False
2018-06-09,7,13,72,1,False
2018-06-10,6,13,69,1,False
2018-06-11,8,12,70,1,False
2018-06-12,7,13,68,1,False
2018-06-13,8,12,69,1,False
2018-06-14,7,12,70,1,False
2018-06-15,7,12,71,1,False
2018-06-16,6,12,74,1,False
2018-06-17,6,13,73,1,False
2018-06-18,7,12,69,1,False
2018-06-19,7,12,71,1,False
2018-06-20,7,12,70,1,False
2018-06-21,7,13,70,1,False
2018-06-22,7,13,70,1,False
2018-06-23,6,13,71,1,False
2018-06-24,6,13,71,1,False
2018-06-25,7,12,67,1,False
2018-06-26,7,12,67,1,False
2018-06-27,7,12,66,1,False
2018-06-28,7,12,67,1,False
2018-06-29,7,12,72,1,False
2018-06-30,6,13,69,1,False
2018-07-01,6,13,70,1,False
2018-07-02,7,12,66,1,False
2018-07-03,7,12,66,1,False
2018-07-04,8,13,67,1,False
2018-07-05,8,13,67,1,False
2018-07-06,7,13,68,1,False
2018-07-07,6,13,70,1,False
2018-07-08,6,14,70,1,False
2018-07-09,7,12,67,1,False
2018-07-10,7,13,66,1,False
2018-07-11,7,14,65,1,False
2018-07-12,8,14,69,1,False
2018-07-13,7,15,67,1,False
2018-07-14,6,13,66,1,False
2018-07-15,6,13,66,1,False
2018-07-16,7,13,67,1,False
2018-07-17,8,12,68,1,False
2018-07-18,8,13,68,1,False
2018-07-19,8,12,64,1,False
2018-07-20,8,12,66,1,False
2018-07-21,7,13,67,1,False
2018-07-22,6,14,68,1,False
2018-07-23,8,13,64,1,False
2018-07-24,8,12,66,1,False
2018-07-25,8,12,69,1,False
2018-07-26,8,13,71,1,False
2018-07-27,8,13,70,1,False
2018-07-28,7,13,71,1,False
2018-07-29,6,14,71,1,False
2018-07-30,8,13,66,1,False
2018-07-31,8,13,67,1,False
2018-08-01,8,13,67,1,False
2018-08-02,8,13,65,1,False
2018-08-03,8,12,70,1,False
2018-08-04,7,13,68,1,False
2018-08-05,7,13,67,1,False
2018-08-06,8,13,64,1,False
2018-08-07,8,14,62,1,False
2018-08-08,8,13,69,1,False
2018-08-09,8,13,64,1,False
2018-08-10,8,12,66,1,False
2018-08-11,7,13,66,1,False
2018-08-12,6,14,66,1,False
2018-08-13,8,13,64,1,False
2018-08-14,8,12,66,1,False
2018-08-15,9,13,65,1,False
2018-08-16,8,13,65,1,False
2018-08-17,8,13,65,1,False
2018-08-18,7,13,70,1,False
2018-08-19,6,14,67,1,False
2018-08-20,8,13,63,1,False
2018-08-21,8,13,65,1,False
2018-08-22,8,12,65,1,False
2018-08-23,8,12,64,1,False
2018-08-24,8,13,65,1,False
2018-08-25,7,13,67,1,False
2018-08-26,6,14,68,1,False
2018-08-27,8,13,64,1,False
2018-08-28,8,13,66,1,False
2018-08-29,8,12,63,1,False
2018-08-30,8,13,63,1,False
2018-08-31,8,13,66,1,False
2018-09-01,7,13,66,2,False
2018-09-01,10,18,94,2,False
2018-09-02,9,19,96,1,False
2018-09-03,12,20,100,2,False
2018-09-04,12,18,92,1,False
2018-09-05,12,18,94,1,False
2018-09-06,11,17,91,1,False
2018-09-07,10,18,92,1,False
2018-09-08,10,19,96,1,False
2018-09-09,9,20,97,1,False
2018-09-10,11,17,91,1,False
2018-09-11,12,17,96,1,False
2018-09-12,12,17,91,1,False
2018-09-13,11,18,92,1,False
2018-09-14,12,18,93,1,False
2018-09-15,10,19,94,1,False
2018-09-16,9,19,93,1,False
2018-09-17,11,17,89,1,False
2018-09-18,11,17,90,1,False
2018-09-19,11,17,91,1,False
2018-09-20,11,17,88,1,False
2018-09-21,11,17,91,1,False
2018-09-22,10,18,89,1,False
2018-09-23,9,19,91,1,False
2018-09-24,11,17,87,1,False
2018-09-25,11,17,89,1,False
2018-09-26,11,17,85,1,False
2018-09-27,11,17,90,1,False
2018-09-28,11,17,91,1,False
2018-09-29,9,18,90,1,False
2018-09-30,9,18,90,1,False
2018-10-01,10,17,88,1,False
2018-10-02,11,17,83,1,False
2018-10-03,11,19,87,1,False
2018-10-04,11,17,90,1,False
2018-10-05,10,17,86,1,False
2018-10-06,9,18,89,1,False
2018-10-07,8,19,89,1,False
2018-10-08,10,17,86,1,False
2018-10-09,11,17,83,1,False
2018-10-10,11,16,84,1,False
2018-10-11,11,17,88,1,False
2018-10-12,10,17,89,1,False
2018-10-13,9,18,89,1,False
2018-10-14,9,19,88,1,False
2018-10-15,10,17,86,1,False
2018-10-16,11,17,82,1,False
2018-10-17,11,17,84,1,False
2018-10-18,11,17,86,1,False
2018-10-19,11,18,88,1,False
2018-10-20,9,18,90,1,False
2018-10-21,9,19,88,1,False
2018-10-22,11,17,86,1,False
2018-10-23,10,17,86,1,False
2018-10-24,11,17,84,1,False
2018-10-25,11,17,85,1,False
2018-10-26,11,17,84,1,False
2018-10-27,10,18,84,1,False
2018-10-28,10,19,89,1,False
2018-10-29,10,17,83,1,False
2018-10-30,12,17,85,1,False
2018-10-31,11,17,86,1,False
2018-11-01,12,17,86,1,False
2018-11-02,11,18,87,1,False
2018-11-03,10,19,88,2,False
2018-11-04,9,19,88,2,False
2018-11-05,12,17,83,1,False
2018-11-06,13,18,87,1,False
2018-11-07,12,16,80,1,False
2018-11-08,12,17,86,1,False
2018-11-09,11,17,87,1,False
2018-11-10,10,18,90,1,False
2018-11-11,9,18,86,1,False
2018-11-12,11,17,87,1,False
2018-11-13,12,17,85,2,False
2018-11-14,12,17,84,2,False
2018-11-15,11,17,87,1,False
2018-11-16,11,17,86,1,False
2018-11-17,10,20,87,1,False
2018-11-18,9,19,88,1,False
2018-11-19,11,18,83,2,False
2018-11-20,12,18,90,2,False
2018-11-21,12,17,88,1,False
2018-11-22,12,17,85,1,False
2018-11-23,11,16,83,1,False
2018-11-24,9,18,84,1,False
2018-11-25,9,18,85,1,False
2018-11-26,11,17,79,1,False
2018-11-27,11,17,79,1,False
2018-11-28,11,16,79,1,False
2018-11-29,11,17,84,2,False
2018-11-30,11,17,83,1,False
2018-12-01,9,18,83,1,False
2018-12-02,9,18,84,1,False
2018-12-03,11,17,79,1,False
2018-12-04,11,17,80,1,False
2018-12-05,11,17,84,1,False
2018-12-06,10,17,78,1,False
2018-12-07,10,17,83,1,False
2018-12-08,9,18,82,1,False
2018-12-09,8,19,83,1,False
2018-12-10,11,17,79,1,False
2018-12-11,10,17,79,1,False
2018-12-12,11,17,81,1,False
2018-12-13,11,17,82,1,False
2018-12-14,10,18,81,1,False
2018-12-15,9,18,84,1,False
2018-12-16,8,19,84,1,False
2018-12-17,10,17,79,1,False
2018-12-18,10,17,80,1,False
2018-12-19,10,17,82,1,False
2018-12-20,10,18,84,1,False
2018-12-21,9,17,82,1,False
2018-12-22,8,18,83,1,False
2018-12-23,8,20,85,1,False
2018-12-24,11,19,85,1,False
2018-12-25,9,20,92,1,False
2018-12-26,10,19,86,1,False
2018-12-27,10,21,79,1,False
2018-12-28,10,21,82,1,False
2018-12-29,9,21,84,1,False
2018-12-30,8,21,86,1,False
2018-12-31,10,24,90,1,False
2019-01-01,9,25,98,1,False
2019-01-02,9,21,84,1,False
